team,group,P,W,D,L,GF,GA,GD,Pts,qualify
Mexico,A,3,2,1,0,6,3,3,7,✅
Czech Republic,A,3,1,2,0,4,3,1,5,✅
South Africa,A,3,1,1,1,4,4,0,4,
South Korea,A,3,0,0,3,3,7,-4,0,
Switzerland,B,3,2,1,0,5,3,2,7,✅
Canada,B,3,1,1,1,4,4,0,4,✅
Qatar,B,3,0,3,0,3,3,0,3,
Bosnia and Herzegovina,B,3,0,1,2,3,5,-2,1,
Brazil,C,3,1,2,0,4,3,1,5,✅
Morocco,C,3,1,2,0,4,3,1,5,✅
Scotland,C,3,0,3,0,3,3,0,3,
Haiti,C,3,0,1,2,3,5,-2,1,
Australia,D,3,2,1,0,5,3,2,7,✅
United States,D,3,2,1,0,5,3,2,7,✅
Turkey,D,3,1,0,2,4,5,-1,3,
Paraguay,D,3,0,0,3,3,6,-3,0,
Germany,E,3,2,1,0,5,3,2,7,✅
Ecuador,E,3,1,1,1,4,4,0,4,✅
Ivory Coast,E,3,1,1,1,4,4,0,4,
Curaçao,E,3,0,1,2,3,5,-2,1,
Netherlands,F,3,2,1,0,5,3,2,7,✅
Japan,F,3,1,1,1,4,4,0,4,✅
Tunisia,F,3,0,3,0,3,3,0,3,
Sweden,F,3,0,1,2,3,5,-2,1,
Belgium,G,3,3,0,0,7,2,5,9,✅
Egypt,G,3,1,1,1,5,4,1,4,✅
New Zealand,G,3,1,1,1,4,4,0,4,
Iran,G,3,0,0,3,2,8,-6,0,
Spain,H,3,2,1,0,5,3,2,7,✅
Uruguay,H,3,1,2,0,4,3,1,5,✅
Saudi Arabia,H,3,0,2,1,3,4,-1,2,
Cape Verde,H,3,0,1,2,3,5,-2,1,
France,I,3,1,2,0,4,3,1,5,✅
Senegal,I,3,1,2,0,4,3,1,5,✅
Norway,I,3,0,3,0,3,3,0,3,
Iraq,I,3,0,1,2,3,5,-2,1,
Argentina,J,3,2,1,0,5,3,2,7,✅
Austria,J,3,1,1,1,4,4,0,4,✅
Algeria,J,3,0,2,1,3,4,-1,2,
Jordan,J,3,0,2,1,3,4,-1,2,
Portugal,K,3,2,1,0,6,2,4,7,✅
Colombia,K,3,1,2,0,4,3,1,5,✅
Uzbekistan,K,3,1,1,1,4,4,0,4,
DR Congo,K,3,0,0,3,2,7,-5,0,
England,L,3,2,1,0,5,3,2,7,✅
Croatia,L,3,1,1,1,4,4,0,4,✅
Panama,L,3,0,3,0,3,3,0,3,
Ghana,L,3,0,1,2,3,5,-2,1,
